Gene_ID,TS1,TS2,TS3,TS4,TS5,TS6,TS8,TS9,TS10,TS11,TS12,TS13,TS14,TS15,TS16,TS18,TS19,TS20,TS21,TS22,TS23,TS25,TS27
ENSMUSG00000046207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000046210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000046213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000046215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
ENSMUSG00000046219,0,0,0,1,0,0,0,0,0,0,0,2,2,0,1,2,0,5,0,2,0,4,1
ENSMUSG00000046223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSMUSG00000046229,21,7,18,8,4,14,13,8,5,0,24,20,13,1,13,13,12,15,0,8,5,16,15
ENSMUSG00000046230,1,3,3,0,2,0,2,1,1,0,0,0,1,0,0,1,2,0,0,0,0,1,2
ENSMUSG00000046240,0,0,1,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000046242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000046245,8,11,7,3,0,8,8,3,0,0,7,5,9,0,3,4,0,16,0,7,3,12,5
ENSMUSG00000046248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000046258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000046259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000046262,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000046269,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000046272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000046275,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000046280,1,1,1,0,0,3,8,0,0,0,0,2,1,0,1,1,2,4,3,0,0,4,0
ENSMUSG00000046282,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000046287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000046295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000046300,1,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
ENSMUSG00000046311,1,0,1,0,5,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0
ENSMUSG00000046312,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0
ENSMUSG00000046314,0,0,2,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
ENSMUSG00000046317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000046318,0,3,1,2,5,0,0,1,0,0,0,5,12,0,1,2,4,1,0,1,1,7,6
ENSMUSG00000046321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000046323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000046324,0,3,6,1,0,4,3,1,2,0,0,4,6,4,1,3,3,4,3,2,10,3,1
ENSMUSG00000046329,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,1,5,0,6,0,0,4,3
ENSMUSG00000046330,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,1
ENSMUSG00000046334,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
ENSMUSG00000046337,1,1,2,0,0,0,5,0,0,0,0,2,1,0,1,0,0,0,0,3,2,3,3
ENSMUSG00000046338,2,5,1,0,0,10,3,3,2,0,1,2,2,0,0,1,1,1,0,1,3,4,1
ENSMUSG00000046341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000046345,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0
ENSMUSG00000046351,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,3,2,0
ENSMUSG00000046352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000046354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000046364,33,13,12,8,0,5,12,3,4,0,7,5,8,0,3,25,7,10,0,1,0,19,11
ENSMUSG00000046367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000046372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000046378,1,4,5,4,11,4,2,8,3,1,1,2,3,19,5,3,4,5,2,2,1,3,3
ENSMUSG00000046380,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,4,0,0,4,0,1,0
ENSMUSG00000046387,1,0,0,0,2,2,2,1,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0
ENSMUSG00000046388,6,9,11,5,3,6,18,3,7,5,17,14,11,0,11,15,7,14,2,5,13,17,12
ENSMUSG00000046396,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000046402,1,0,0,0,0,0,2,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0
ENSMUSG00000046404,4,0,1,3,0,1,5,1,1,0,1,3,1,0,0,0,0,6,0,0,1,4,2
ENSMUSG00000046408,12,15,7,6,2,5,7,4,6,0,5,13,14,0,17,18,10,16,0,4,2,25,11
ENSMUSG00000046410,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,6,0,0,0,0,0
ENSMUSG00000046411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000046413,113,124,193,72,12,37,171,17,38,0,174,179,152,14,104,159,84,80,3,29,12,195,147
ENSMUSG00000046415,20,25,22,21,8,21,30,12,13,16,35,24,18,60,22,30,25,17,12,15,14,51,31
ENSMUSG00000046417,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1
ENSMUSG00000046431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000046432,2,0,1,1,0,0,2,0,0,0,0,1,0,1,0,3,3,0,0,0,0,2,1
ENSMUSG00000046434,5,2,3,0,0,1,8,0,0,0,5,5,1,1,1,2,0,4,0,0,3,8,8
ENSMUSG00000046435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000046438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000046440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000046441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ENSMUSG00000046442,4,3,11,1,1,9,12,2,4,0,2,8,14,3,4,4,2,6,3,7,3,6,4
ENSMUSG00000046447,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
ENSMUSG00000046449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
ENSMUSG00000046450,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000046456,10,7,23,9,5,11,31,8,5,0,6,20,31,1,14,18,7,54,4,7,11,26,28
ENSMUSG00000046460,4,2,6,4,4,0,5,2,1,0,0,3,0,1,2,2,9,8,0,3,2,2,5
ENSMUSG00000046463,5,3,4,12,4,3,10,1,2,0,6,2,4,4,4,4,0,4,6,5,8,6,4
